time,data,Grams,Newtons,multiplier,offset
27844,-422147,92.61683,,0.00111,561.2
27928,-422127,92.63903,,0.00111,561.2
28012,-422136,92.62904,,0.00111,561.2
28096,-422146,92.61794,,0.00111,561.2
28181,-422141,92.62349,,0.00111,561.2
28265,-422107,92.66123,,0.00111,561.2
28349,-422149,92.61461,,0.00111,561.2
28433,-422192,92.56688,,0.00111,561.2
28517,-422143,92.62127,,0.00111,561.2
28602,-422111,92.65679,,0.00111,561.2
28686,-422085,92.68565,,0.00111,561.2
28770,-422050,92.7245,,0.00111,561.2
28854,-422067,92.70563,,0.00111,561.2
28938,-422049,92.72561,,0.00111,561.2
29023,-422071,92.70119,,0.00111,561.2
29107,-422143,92.62127,,0.00111,561.2
29191,-422152,92.61128,,0.00111,561.2
29275,-422127,92.63903,,0.00111,561.2
29359,-422091,92.67899,,0.00111,561.2
29444,-422074,92.69786,,0.00111,561.2
29528,-422064,92.70896,,0.00111,561.2
29612,-422101,92.66789,,0.00111,561.2
29696,-422138,92.62682,,0.00111,561.2
29780,-422109,92.65901,,0.00111,561.2
29865,-422131,92.63459,,0.00111,561.2
29949,-422122,92.64458,,0.00111,561.2
30033,-422131,92.63459,,0.00111,561.2
30117,-422125,92.64125,,0.00111,561.2
30201,-422128,92.63792,,0.00111,561.2
30286,-422182,92.57798,,0.00111,561.2
30370,-422127,92.63903,,0.00111,561.2
30454,-422124,92.64236,,0.00111,561.2
30538,-422166,92.59574,,0.00111,561.2
30622,-422156,92.60684,,0.00111,561.2
30707,-422124,92.64236,,0.00111,561.2
30791,-422127,92.63903,,0.00111,561.2
30875,-422171,92.59019,,0.00111,561.2
30959,-422189,92.57021,,0.00111,561.2
31043,-422165,92.59685,,0.00111,561.2
31128,-422183,92.57687,,0.00111,561.2
31212,-422188,92.57132,,0.00111,561.2
31296,-422160,92.6024,,0.00111,561.2
31380,-422138,92.62682,,0.00111,561.2
31464,-422145,92.61905,,0.00111,561.2
31549,-422108,92.66012,,0.00111,561.2
31633,-422160,92.6024,,0.00111,561.2
31717,-422161,92.60129,,0.00111,561.2
31801,-422201,92.55689,,0.00111,561.2
31885,-422170,92.5913,,0.00111,561.2
31970,-422174,92.58686,,0.00111,561.2
32054,-422195,92.56355,,0.00111,561.2
32138,-422178,92.58242,,0.00111,561.2
32222,-422178,92.58242,,0.00111,561.2
32306,-422153,92.61017,,0.00111,561.2
32391,-422160,92.6024,,0.00111,561.2
32475,-422124,92.64236,,0.00111,561.2
32559,-422154,92.60906,,0.00111,561.2
32643,-422139,92.62571,,0.00111,561.2
32727,-422094,92.67566,,0.00111,561.2
32812,-422115,92.65235,,0.00111,561.2
32896,-422146,92.61794,,0.00111,561.2
32980,-422138,92.62682,,0.00111,561.2
33064,-422101,92.66789,,0.00111,561.2
33148,-422099,92.67011,,0.00111,561.2
33233,-422083,92.68787,,0.00111,561.2
33317,-422073,92.69897,,0.00111,561.2
33401,-422063,92.71007,,0.00111,561.2
33485,-422101,92.66789,,0.00111,561.2
33569,-422079,92.69231,,0.00111,561.2
33653,-422057,92.71673,,0.00111,561.2
33738,-422021,92.75669,,0.00111,561.2
33822,-422027,92.75003,,0.00111,561.2
33906,-422055,92.71895,,0.00111,561.2
33990,-422127,92.63903,,0.00111,561.2
34074,-422202,92.55578,,0.00111,561.2
34159,-422187,92.57243,,0.00111,561.2
34243,-422187,92.57243,,0.00111,561.2
34327,-422163,92.59907,,0.00111,561.2
34411,-422213,92.54357,,0.00111,561.2
34495,-422263,92.48807,,0.00111,561.2
34580,-422226,92.52914,,0.00111,561.2
34664,-422221,92.53469,,0.00111,561.2
34748,-422260,92.4914,,0.00111,561.2
34832,-422274,92.47586,,0.00111,561.2
34916,-422276,92.47364,,0.00111,561.2
35001,-422228,92.52692,,0.00111,561.2
35085,-422260,92.4914,,0.00111,561.2
35169,-422294,92.45366,,0.00111,561.2
35253,-422265,92.48585,,0.00111,561.2
35337,-422234,92.52026,,0.00111,561.2
35422,-422259,92.49251,,0.00111,561.2
35506,-422301,92.44589,,0.00111,561.2
35590,-422371,92.36819,,0.00111,561.2
35674,-422393,92.34377,,0.00111,561.2
35758,-422314,92.43146,,0.00111,561.2
35843,-422292,92.45588,,0.00111,561.2
35927,-422309,92.43701,,0.00111,561.2
36011,-422314,92.43146,,0.00111,561.2
36095,-422290,92.4581,,0.00111,561.2
36179,-422231,92.52359,,0.00111,561.2
36264,-422201,92.55689,,0.00111,561.2
36348,-422242,92.51138,,0.00111,561.2
36432,-422246,92.50694,,0.00111,561.2
36516,-422236,92.51804,,0.00111,561.2
36600,-422214,92.54246,,0.00111,561.2
36685,-422202,92.55578,,0.00111,561.2
36769,-422180,92.5802,,0.00111,561.2
36853,-422188,92.57132,,0.00111,561.2
36937,-422220,92.5358,,0.00111,561.2
37021,-422227,92.52803,,0.00111,561.2
37106,-422238,92.51582,,0.00111,561.2
37190,-422338,92.40482,,0.00111,561.2
37274,-422443,92.28827,,0.00111,561.2
37358,-422505,92.21945,,0.00111,561.2
37442,-422382,92.35598,,0.00111,561.2
37527,-422526,92.19614,,0.00111,561.2
37611,-422874,91.80986,,0.00111,561.2
37695,-423045,91.62005,,0.00111,561.2
37779,-423309,91.32701,,0.00111,561.2
37863,-423360,91.2704,,0.00111,561.2
37948,-423229,91.41581,,0.00111,561.2
38032,-423162,91.49018,,0.00111,561.2
38116,-423091,91.56899,,0.00111,561.2
38200,-423004,91.66556,,0.00111,561.2
38284,-422928,91.74992,,0.00111,561.2
38369,-422917,91.76213,,0.00111,561.2
38453,-422876,91.80764,,0.00111,561.2
38537,-422801,91.89089,,0.00111,561.2
38621,-421718,93.09302,,0.00111,561.2
38705,-413223,102.52247,,0.00111,561.2
38790,-393069,124.89341,,0.00111,561.2
38874,-356295,165.71255,,0.00111,561.2
38958,-282911,247.16879,,0.00111,561.2
39042,-170817,371.59313,,0.00111,561.2
39126,-19782,539.24198,,0.00111,561.2
39211,157037,735.51107,,0.00111,561.2
39295,343831,942.85241,,0.00111,561.2
39379,470286,1083.21746,,0.00111,561.2
39463,462187,1074.22757,,0.00111,561.2
39547,309126,904.32986,,0.00111,561.2
39632,94949,666.59339,,0.00111,561.2
39716,-30801,527.01089,,0.00111,561.2
39800,-74487,478.51943,,0.00111,561.2
39884,-85539,466.25171,,0.00111,561.2
39968,-93887,456.98543,,0.00111,561.2
40053,-106377,443.12153,,0.00111,561.2
40137,-117977,430.24553,,0.00111,561.2
40221,-127663,419.49407,,0.00111,561.2
40305,-135660,410.6174,,0.00111,561.2
40389,-145011,400.23779,,0.00111,561.2
40474,-167696,375.05744,,0.00111,561.2
40558,-197945,341.48105,,0.00111,561.2
40642,-202621,336.29069,,0.00111,561.2
40726,-202379,336.55931,,0.00111,561.2
40810,-202410,336.5249,,0.00111,561.2
40895,-201705,337.30745,,0.00111,561.2
40979,-201247,337.81583,,0.00111,561.2
41063,-201358,337.69262,,0.00111,561.2
41147,-205286,333.33254,,0.00111,561.2
41231,-203333,335.50037,,0.00111,561.2
41316,-202742,336.15638,,0.00111,561.2
41400,-218292,318.89588,,0.00111,561.2
41484,-231722,303.98858,,0.00111,561.2
41568,-230640,305.1896,,0.00111,561.2
41652,-224115,312.43235,,0.00111,561.2
41737,-222607,314.10623,,0.00111,561.2
41821,-221340,315.5126,,0.00111,561.2
41905,-220235,316.73915,,0.00111,561.2
41989,-220298,316.66922,,0.00111,561.2
42073,-220503,316.44167,,0.00111,561.2
42158,-220039,316.95671,,0.00111,561.2
42242,-219640,317.3996,,0.00111,561.2
42326,-218750,318.3875,,0.00111,561.2
42410,-218689,318.45521,,0.00111,561.2
42494,-218129,319.07681,,0.00111,561.2
42579,-216958,320.37662,,0.00111,561.2
42663,-215234,322.29026,,0.00111,561.2
42747,-212829,324.95981,,0.00111,561.2
42831,-212551,325.26839,,0.00111,561.2
42915,-211195,326.77355,,0.00111,561.2
43000,-209417,328.74713,,0.00111,561.2
43084,-208290,329.9981,,0.00111,561.2
43168,-209301,328.87589,,0.00111,561.2
43252,-209943,328.16327,,0.00111,561.2
43336,-208324,329.96036,,0.00111,561.2
43421,-206568,331.90952,,0.00111,561.2
43505,-201194,337.87466,,0.00111,561.2
43589,-196426,343.16714,,0.00111,561.2
43673,-205280,333.3392,,0.00111,561.2
43757,-217866,319.36874,,0.00111,561.2
43842,-219003,318.10667,,0.00111,561.2
43926,-218676,318.46964,,0.00111,561.2
44010,-218671,318.47519,,0.00111,561.2
44094,-218733,318.40637,,0.00111,561.2
44178,-218068,319.14452,,0.00111,561.2
44262,-217830,319.4087,,0.00111,561.2
44347,-216837,320.51093,,0.00111,561.2
44431,-215441,322.06049,,0.00111,561.2
44515,-214808,322.76312,,0.00111,561.2
44599,-215817,321.64313,,0.00111,561.2
44683,-216415,320.97935,,0.00111,561.2
44768,-216707,320.65523,,0.00111,561.2
44852,-217693,319.56077,,0.00111,561.2
44936,-218673,318.47297,,0.00111,561.2
45020,-219056,318.04784,,0.00111,561.2
45104,-218500,318.665,,0.00111,561.2
45189,-218524,318.63836,,0.00111,561.2
45273,-219500,317.555,,0.00111,561.2
45357,-219448,317.61272,,0.00111,561.2
45441,-217318,319.97702,,0.00111,561.2
45525,-214157,323.48573,,0.00111,561.2
45610,-214959,322.59551,,0.00111,561.2
45694,-205857,332.69873,,0.00111,561.2
45778,-207799,330.54311,,0.00111,561.2
45862,-341453,182.18717,,0.00111,561.2
45946,-400416,116.73824,,0.00111,561.2
46031,-410569,105.46841,,0.00111,561.2
46115,-417885,97.34765,,0.00111,561.2
46199,-425584,88.80176,,0.00111,561.2
46283,-434405,79.01045,,0.00111,561.2
46367,-439835,72.98315,,0.00111,561.2
46452,-443518,68.89502,,0.00111,561.2
46536,-447710,64.2419,,0.00111,561.2
46620,-450482,61.16498,,0.00111,561.2
46704,-452747,58.65083,,0.00111,561.2
46788,-454860,56.3054,,0.00111,561.2
46873,-456551,54.42839,,0.00111,561.2
46957,-457904,52.92656,,0.00111,561.2
47041,-458817,51.91313,,0.00111,561.2
47125,-460164,50.41796,,0.00111,561.2
47209,-462878,47.40542,,0.00111,561.2
47294,-464484,45.62276,,0.00111,561.2
47378,-465126,44.91014,,0.00111,561.2
47462,-465362,44.64818,,0.00111,561.2
47546,-465529,44.46281,,0.00111,561.2
47630,-465608,44.37512,,0.00111,561.2
47714,-465805,44.15645,,0.00111,561.2
47799,-466106,43.82234,,0.00111,561.2
47883,-466239,43.67471,,0.00111,561.2
47967,-466330,43.5737,,0.00111,561.2
48051,-466405,43.49045,,0.00111,561.2
48135,-466459,43.43051,,0.00111,561.2
48220,-466506,43.37834,,0.00111,561.2
48304,-466530,43.3517,,0.00111,561.2
48388,-466550,43.3295,,0.00111,561.2
48472,-466493,43.39277,,0.00111,561.2
48556,-466458,43.43162,,0.00111,561.2
48641,-466444,43.44716,,0.00111,561.2
48725,-466403,43.49267,,0.00111,561.2
48809,-466498,43.38722,,0.00111,561.2
48893,-466314,43.59146,,0.00111,561.2
48977,-466203,43.71467,,0.00111,561.2
49061,-466219,43.69691,,0.00111,561.2
49146,-466226,43.68914,,0.00111,561.2
49230,-466222,43.69358,,0.00111,561.2
49314,-466215,43.70135,,0.00111,561.2
49398,-466254,43.65806,,0.00111,561.2
49482,-466375,43.52375,,0.00111,561.2
49567,-466414,43.48046,,0.00111,561.2
49651,-466357,43.54373,,0.00111,561.2
49735,-466409,43.48601,,0.00111,561.2
49819,-466642,43.22738,,0.00111,561.2
49903,-466625,43.24625,,0.00111,561.2
49988,-466598,43.27622,,0.00111,561.2
50072,-466681,43.18409,,0.00111,561.2
50156,-466668,43.19852,,0.00111,561.2
50240,-466501,43.38389,,0.00111,561.2
50324,-466522,43.36058,,0.00111,561.2
50409,-466595,43.27955,,0.00111,561.2
50493,-466753,43.10417,,0.00111,561.2
50577,-466710,43.1519,,0.00111,561.2
50661,-466639,43.23071,,0.00111,561.2
50745,-466608,43.26512,,0.00111,561.2
50829,-466715,43.14635,,0.00111,561.2
50914,-466777,43.07753,,0.00111,561.2
50998,-466755,43.10195,,0.00111,561.2
51082,-466805,43.04645,,0.00111,561.2
51166,-466817,43.03313,,0.00111,561.2
51250,-466724,43.13636,,0.00111,561.2
51335,-466631,43.23959,,0.00111,561.2
51419,-466625,43.24625,,0.00111,561.2
51503,-466741,43.11749,,0.00111,561.2
51587,-466823,43.02647,,0.00111,561.2
51671,-466873,42.97097,,0.00111,561.2
51756,-466852,42.99428,,0.00111,561.2
51840,-466801,43.05089,,0.00111,561.2
51924,-466969,42.86441,,0.00111,561.2
52008,-467018,42.81002,,0.00111,561.2
52092,-466908,42.93212,,0.00111,561.2
52176,-466874,42.96986,,0.00111,561.2
52261,-466880,42.9632,,0.00111,561.2
52345,-466935,42.90215,,0.00111,561.2
52429,-467006,42.82334,,0.00111,561.2
52513,-467046,42.77894,,0.00111,561.2
52597,-467000,42.83,,0.00111,561.2
52682,-467005,42.82445,,0.00111,561.2
52766,-467038,42.78782,,0.00111,561.2
52850,-467001,42.82889,,0.00111,561.2
52934,-466970,42.8633,,0.00111,561.2
53018,-467157,42.65573,,0.00111,561.2
53103,-467355,42.43595,,0.00111,561.2
53187,-467275,42.52475,,0.00111,561.2
53271,-467179,42.63131,,0.00111,561.2
