time,data
29992,-434466
,
30077,-434480
,
30161,-434496
,
30245,-434500
,
30329,-434515
,
30413,-434516
,
30498,-434468
,
30582,-434445
,
30666,-434484
,
30750,-434529
,
30835,-434501
,
30919,-434499
,
31003,-434534
,
31087,-434508
,
31171,-434520
,
31256,-434579
,
31340,-434565
,
31424,-434543
,
31508,-434571
,
31592,-434614
,
31677,-434587
,
31761,-434602
,
31845,-434663
,
31929,-434710
,
32014,-434755
,
32098,-434751
,
32182,-434682
,
32266,-434643
,
32350,-434676
,
32435,-434659
,
32519,-434596
,
32603,-434736
,
32687,-435498
,
32771,-436151
,
32856,-436361
,
32940,-436437
,
33024,-436488
,
33108,-436573
,
33193,-436608
,
33277,-436531
,
33361,-436514
,
33445,-436213
,
33529,-435103
,
33614,-433568
,
33698,-429379
,
33782,-420813
,
33866,-407536
,
33950,-387909
,
34035,-361158
,
34119,-325231
,
34203,-278184
,
34287,-226759
,
34371,-204309
,
34456,-216678
,
34540,-242918
,
34624,-283261
,
34708,-310747
,
34793,-328297
,
34877,-342830
,
34961,-352587
,
35045,-359557
,
35129,-364467
,
35214,-367100
,
35298,-369662
,
35382,-373136
,
35466,-376471
,
35550,-379074
,
35635,-381456
,
35719,-382748
,
35803,-384015
,
35887,-384745
,
35972,-384799
,
36056,-384977
,
36140,-385580
,
36224,-386085
,
36308,-386925
,
36393,-388902
,
36477,-390639
,
36561,-391683
,
36645,-392469
,
36729,-392828
,
36814,-392820
,
36898,-393059
,
36982,-393568
,
37066,-394121
,
37150,-394731
,
37235,-395274
,
37319,-395526
,
37403,-395664
,
37487,-395552
,
37572,-395561
,
37656,-395409
,
37740,-395442
,
37824,-396292
,
37908,-397210
,
37993,-397850
,
38077,-398480
,
38161,-398894
,
38245,-399073
,
38329,-399398
,
38414,-399389
,
38498,-398832
,
38582,-398174
,
38666,-397243
,
38750,-396976
,
38835,-397040
,
38919,-396967
,
39003,-396352
,
39087,-395649
,
39171,-395360
,
39256,-395481
,
39340,-396356
,
39424,-397112
,
39508,-396920
,
39592,-398922
,
39677,-402512
,
39761,-402939
,
39845,-402739
,
39929,-402851
,
40013,-403179
,
40098,-403413
,
40182,-403170
,
40266,-402645
,
40350,-402598
,
40434,-402375
,
40519,-401590
,
40603,-400589
,
40687,-399089
,
40771,-398097
,
40855,-397794
,
40940,-397510
,
41024,-397274
,
41108,-397313
,
41192,-397718
,
41276,-398081
,
41361,-399071
,
41445,-412366
,
41529,-442747
,
41613,-459504
,
41697,-464650
,
