time,data,Grams,Newtons,multiplier,offset
34,-428398,85.67822,,0.00111,561.2
84,-431742,81.96638,,0.00111,561.2
168,-431607,82.11623,,0.00111,561.2
252,-431892,81.79988,,0.00111,561.2
336,-432082,81.58898,,0.00111,561.2
420,-432348,81.29372,,0.00111,561.2
504,-432581,81.03509,,0.00111,561.2
589,-433108,80.45012,,0.00111,561.2
673,-433794,79.68866,,0.00111,561.2
757,-434025,79.43225,,0.00111,561.2
841,-434059,79.39451,,0.00111,561.2
925,-434056,79.39784,,0.00111,561.2
1010,-434046,79.40894,,0.00111,561.2
1094,-433991,79.46999,,0.00111,561.2
1178,-433991,79.46999,,0.00111,561.2
1262,-434019,79.43891,,0.00111,561.2
1346,-434008,79.45112,,0.00111,561.2
1431,-434010,79.4489,,0.00111,561.2
1515,-434044,79.41116,,0.00111,561.2
1599,-434037,79.41893,,0.00111,561.2
1683,-434003,79.45667,,0.00111,561.2
1767,-433998,79.46222,,0.00111,561.2
1852,-433975,79.48775,,0.00111,561.2
1936,-433978,79.48442,,0.00111,561.2
2020,-433971,79.49219,,0.00111,561.2
2104,-433971,79.49219,,0.00111,561.2
2188,-433988,79.47332,,0.00111,561.2
2273,-433974,79.48886,,0.00111,561.2
2357,-433952,79.51328,,0.00111,561.2
2441,-433923,79.54547,,0.00111,561.2
2525,-433892,79.57988,,0.00111,561.2
2609,-433854,79.62206,,0.00111,561.2
2694,-433846,79.63094,,0.00111,561.2
2778,-433830,79.6487,,0.00111,561.2
2862,-433789,79.69421,,0.00111,561.2
2946,-433770,79.7153,,0.00111,561.2
3030,-433760,79.7264,,0.00111,561.2
3114,-433759,79.72751,,0.00111,561.2
3199,-433796,79.68644,,0.00111,561.2
3283,-433811,79.66979,,0.00111,561.2
3367,-433790,79.6931,,0.00111,561.2
3451,-433751,79.73639,,0.00111,561.2
3535,-433714,79.77746,,0.00111,561.2
3620,-433712,79.77968,,0.00111,561.2
3704,-433732,79.75748,,0.00111,561.2
3788,-433744,79.74416,,0.00111,561.2
3872,-433692,79.80188,,0.00111,561.2
3956,-433654,79.84406,,0.00111,561.2
4041,-433310,80.2259,,0.00111,561.2
4125,-432897,80.68433,,0.00111,561.2
4209,-432831,80.75759,,0.00111,561.2
4293,-432843,80.74427,,0.00111,561.2
4377,-432845,80.74205,,0.00111,561.2
4462,-432936,80.64104,,0.00111,561.2
4546,-433013,80.55557,,0.00111,561.2
4630,-433075,80.48675,,0.00111,561.2
4714,-433074,80.48786,,0.00111,561.2
4798,-428536,85.52504,,0.00111,561.2
4883,-392613,125.39957,,0.00111,561.2
4967,-264102,268.04678,,0.00111,561.2
5051,149194,726.80534,,0.00111,561.2
5135,187649,769.49039,,0.00111,561.2
5219,-304496,223.20944,,0.00111,561.2
5303,-416117,99.31013,,0.00111,561.2
5388,-412869,102.91541,,0.00111,561.2
5472,-413769,101.91641,,0.00111,561.2
5556,-414425,101.18825,,0.00111,561.2
5640,-414414,101.20046,,0.00111,561.2
5724,-414298,101.32922,,0.00111,561.2
5809,-414315,101.31035,,0.00111,561.2
5893,-414504,101.10056,,0.00111,561.2
5977,-414554,101.04506,,0.00111,561.2
6061,-414448,101.16272,,0.00111,561.2
6145,-414409,101.20601,,0.00111,561.2
6230,-414389,101.22821,,0.00111,561.2
6314,-414358,101.26262,,0.00111,561.2
6398,-414305,101.32145,,0.00111,561.2
6482,-414346,101.27594,,0.00111,561.2
6566,-414362,101.25818,,0.00111,561.2
6651,-414366,101.25374,,0.00111,561.2
6735,-414314,101.31146,,0.00111,561.2
6819,-414281,101.34809,,0.00111,561.2
6903,-414282,101.34698,,0.00111,561.2
6987,-414283,101.34587,,0.00111,561.2
7072,-414282,101.34698,,0.00111,561.2
