time(millis),values,Grams,Newtons,multiplier,offset
10637,-426326,87.97814,,0.00111,561.2
10721,-426338,87.96482,,0.00111,561.2
10806,-426326,87.97814,,0.00111,561.2
10890,-426300,88.007,,0.00111,561.2
10974,-426325,87.97925,,0.00111,561.2
11058,-426325,87.97925,,0.00111,561.2
11142,-426327,87.97703,,0.00111,561.2
11226,-426321,87.98369,,0.00111,561.2
11311,-426320,87.9848,,0.00111,561.2
11395,-426312,87.99368,,0.00111,561.2
11479,-426342,87.96038,,0.00111,561.2
11563,-426360,87.9404,,0.00111,561.2
11647,-426344,87.95816,,0.00111,561.2
11732,-426339,87.96371,,0.00111,561.2
11816,-426354,87.94706,,0.00111,561.2
11900,-426324,87.98036,,0.00111,561.2
11984,-426358,87.94262,,0.00111,561.2
12068,-426355,87.94595,,0.00111,561.2
12153,-426314,87.99146,,0.00111,561.2
12237,-426312,87.99368,,0.00111,561.2
12321,-426359,87.94151,,0.00111,561.2
12405,-426365,87.93485,,0.00111,561.2
12489,-426349,87.95261,,0.00111,561.2
12574,-426332,87.97148,,0.00111,561.2
12658,-426349,87.95261,,0.00111,561.2
12742,-426338,87.96482,,0.00111,561.2
12826,-426338,87.96482,,0.00111,561.2
12910,-426371,87.92819,,0.00111,561.2
12994,-426381,87.91709,,0.00111,561.2
13079,-426339,87.96371,,0.00111,561.2
13163,-426357,87.94373,,0.00111,561.2
13247,-426354,87.94706,,0.00111,561.2
13331,-426331,87.97259,,0.00111,561.2
13415,-426339,87.96371,,0.00111,561.2
13500,-426349,87.95261,,0.00111,561.2
13584,-426316,87.98924,,0.00111,561.2
13668,-426295,88.01255,,0.00111,561.2
13752,-426318,87.98702,,0.00111,561.2
13836,-426318,87.98702,,0.00111,561.2
13921,-426303,88.00367,,0.00111,561.2
14005,-426298,88.00922,,0.00111,561.2
14089,-426283,88.02587,,0.00111,561.2
14173,-426280,88.0292,,0.00111,561.2
14257,-426308,87.99812,,0.00111,561.2
14342,-426314,87.99146,,0.00111,561.2
14426,-426283,88.02587,,0.00111,561.2
14510,-426306,88.00034,,0.00111,561.2
